node_id,lat,lon
414663051,35.11471809999999,128.9194518
13358635157,35.11501819999999,128.9195251
11025542582,35.1146157,128.9193425
13358635152,35.11487019999999,128.9188693
436463433,35.1177433,128.9073433
12543371783,35.1176361,128.9077393
12543371779,35.1174366,128.9072989
3785403675,35.117853700000005,128.9074512
436463499,35.1115642,128.9322098
6611795641,35.11222909999999,128.9326118
1770253621,35.11172499999999,128.9309844
436803939,35.07962,128.90358
3613393547,35.0819869,128.9035841
5999853602,35.079619799999996,128.9028013
3613393633,35.07961619999999,128.9043397
436803940,35.08892159999999,128.9035719
6031292583,35.08892259999999,128.9040176
4168496508,35.08916940000001,128.9036115
6031292582,35.0885721,128.9035757
436832226,35.08907339999999,128.8970072
5153681555,35.088953800000006,128.8969687
6037967580,35.08996609999999,128.8973493
436841241,35.09248230000001,128.9122984
8171327365,35.0926364,128.9122961
8171327362,35.09228229999999,128.9123016
8242943616,35.0924323,128.91207160000002
6417352215,35.0925512,128.9126338
436862655,35.107510299999994,128.9298967
6254023652,35.10738469999999,128.9295285
3613407379,35.10461279999999,128.9289902
436862663,35.1089184,128.9256047
3613408571,35.1085482,128.925092
5518070007,35.1100386,128.9248926
3613408469,35.1086254,128.9261241
436871425,35.11632999999999,128.9197074
3613545552,35.1163808,128.9198935
8181539017,35.118588499999994,128.919317
738222199,35.11025909999999,128.9314754
738222202,35.1103715,128.9318841
6732092079,35.11024650000001,128.9319619
3785403417,35.110326399999984,128.93419220000004
738222234,35.10909269999999,128.9309187
3613408581,35.11023029999999,128.9316897
738222236,35.1107353,128.9301847
1770253513,35.1102249,128.9312656
1770253551,35.1085039,128.9303756
738222246,35.110368,128.9349439
4168545802,35.1106969,128.9344682
738222255,35.1128289,128.9277345
6743458590,35.1131278,128.9262888
738235629,35.1130683,128.932175
6611795642,35.1129385,128.931576
3613545426,35.1140366,128.9318926
6611795646,35.1129108,128.9322209
820073378,35.08894839999999,128.90821540000002
5153680992,35.08890809999998,128.9086534
1702309388,35.090226799999996,128.914527
820073394,35.08914219999999,128.908684
5153680993,35.0891534,128.9063376
820073462,35.0889417,128.9006891
6031297509,35.088926399999984,128.9030667
5153681000,35.0889279,128.9063805
1702309326,35.0889651,128.9123313
1702309343,35.089117999999985,128.9123253
5518124992,35.0887679,128.9123097
5518163330,35.0944876,128.9260989
8242943612,35.08912459999999,128.91209410000002
4839696750,35.0909336,128.9123087
1702309364,35.08936510000001,128.9152048
6139009764,35.0898279,128.914036
6138017760,35.09155330000001,128.9184858
1702309397,35.0913858,128.9068705
5518074487,35.09182119999999,128.9069362
5518074484,35.09142190000001,128.9072942
4168496512,35.09167850000001,128.9039947
5518074481,35.091464699999996,128.9093082
12512219079,35.1082213,128.9302202
1770253557,35.11184509999998,128.9295016
1770253690,35.1118895,128.9309495
1770253563,35.1120607,128.9311132
1770253612,35.1119883,128.9314806
1770253569,35.1121347,128.9307387
1770253638,35.112265199999996,128.930449
1770253582,35.1120321,128.9317971
1770253663,35.111711899999996,128.9320953
1770253670,35.112249399999996,128.9324409
1770253586,35.11206120000001,128.9313571
6611795645,35.1127127,128.9312234
1770253587,35.1118598,128.9307251
1770253588,35.1128538,128.9311853
6611795651,35.113742599999995,128.9306358
1770253622,35.1118304,128.933477
3613545645,35.112506599999996,128.9293906
1770253649,35.11281300000001,128.9272811
1770253661,35.110965799999995,128.9322209
1770253696,35.11095339999999,128.93166850000003
436820264,35.112374599999995,128.9327064
6611795640,35.11210350000001,128.9323471
2870346592,35.10736250000001,128.9292596
6254027627,35.1073238,128.9291834
6743242293,35.1077686,128.9279955
3613393520,35.0861345,128.9112241
3613393593,35.086137,128.9104841
6123796260,35.08577699999999,128.9111441
3613393591,35.08651170000001,128.9113112
3613393522,35.08838769999999,128.9035777
6043167248,35.0883737,128.9007976
5518124813,35.0872776,128.9035899
3613393526,35.0819717,128.9115422
6031040259,35.081967999999996,128.9096724
3613393610,35.0843298,128.91154040000004
3613393527,35.07960109999999,128.9077302
6085871631,35.079911199999984,128.9077276
4668274451,35.0790641,128.9077372
6031040258,35.079605199999996,128.9065686
3613393529,35.084331,128.9027638
6121927145,35.08313359999998,128.9027788
3613393549,35.0843311,128.9031797
6776787418,35.084331,128.9016972
3613393530,35.08088049999999,128.9103587
3613393546,35.0808829,128.9077196
3613393531,35.0866526,128.9030636
6058370737,35.0866531,128.9028007
5518124818,35.086612499999994,128.9034825
3613393534,35.0865102,128.9093605
3613393536,35.086511300000005,128.9100183
3613393638,35.086143199999995,128.9093588
6743619544,35.08675969999999,128.9093633
3613393535,35.086670299999994,128.8961587
6757237467,35.086516999999986,128.896104
6038631629,35.0866665,128.8973191
3613393548,35.08835340000001,128.8967592
3613393617,35.086141,128.9100176
3613393589,35.086511699999996,128.9102497
3613393538,35.08432919999999,128.9093556
3613393597,35.08468109999999,128.909359
3613393585,35.0843299,128.9102207
3613393600,35.08432779999999,128.907691
